timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,heart_rate,cadence,fractional_cadence,lat,lon,dist_m,spd_ms,altitude,dt_s,d_m,moving,elev_smooth,day_local
2025-09-22T23:23:31Z,28.77819693647325,83.97275548428297,123338.6,0,4557.2,83,0,0,28.77819693647325,83.97275548428297,123338.6,0,4557.2,62354,0.010000000009313226,FALSE,4555.4,2025-09-23
2025-09-22T23:23:32Z,28.77818662673235,83.97277015261352,123339.3,0,4557,83,0,0,28.77818662673235,83.97277015261352,123339.3,0,4557,1,0.6999999999970896,FALSE,4555.4,2025-09-23
2025-09-22T23:23:34Z,28.778171120211482,83.97277015261352,123340.49,0,4556.2,82,0,0,28.778171120211482,83.97277015261352,123340.49,0,4556.2,2,1.1900000000023283,FALSE,4555.4,2025-09-23
2025-09-22T23:23:35Z,28.77816718071699,83.97276856005192,123341.2,0.989,4556,82,0,0,28.77816718071699,83.97276856005192,123341.2,0.989,4556,1,0.7099999999918509,TRUE,4555.4,2025-09-23
2025-09-22T23:23:39Z,28.778136670589447,83.97275523282588,123345.57,1.241,4555.4,81,48,0.5,28.778136670589447,83.97275523282588,123345.57,1.241,4555.4,4,4.370000000009895,TRUE,4555.4,2025-09-23
2025-09-22T23:23:44Z,28.778089564293623,83.9727248903364,123352.88,1.68,4555.4,81,49,0,28.778089564293623,83.9727248903364,123352.88,1.68,4555.4,5,7.309999999997672,TRUE,4555.4,2025-09-23
2025-09-22T23:23:49Z,28.778033908456564,83.97270418703556,123359.91,1.465,4555.4,81,50,0,28.778033908456564,83.97270418703556,123359.91,1.465,4555.4,5,7.029999999998836,TRUE,4555.4,2025-09-23
2025-09-22T23:23:56Z,28.77790474332869,83.97267267107964,123374.74,1.838,4555.2,83,49,0.5,28.77790474332869,83.97267267107964,123374.74,1.838,4555.2,7,14.830000000001746,TRUE,4555.4,2025-09-23
2025-09-22T23:24:03Z,28.777814554050565,83.97264802828431,123385.35,1.726,4555.2,85,51,0.5,28.777814554050565,83.97264802828431,123385.35,1.726,4555.2,7,10.610000000000582,TRUE,4555.4,2025-09-23
2025-09-22T23:24:09Z,28.77779728733003,83.97262254729867,123389.3,1.614,4555,85,0,0,28.77779728733003,83.97262254729867,123389.3,1.614,4555,6,3.9499999999970896,TRUE,4555.4,2025-09-23
2025-09-22T23:24:14Z,28.777759317308664,83.97257778793573,123395.59,1.232,4555.2,85,47,0,28.777759317308664,83.97257778793573,123395.59,1.232,4555.2,5,6.289999999993597,TRUE,4555.4,2025-09-23
2025-09-22T23:24:15Z,28.7777591496706,83.97256814874709,123396.2,1.12,4555.4,85,47,0,28.7777591496706,83.97256814874709,123396.2,1.12,4555.4,1,0.6100000000005821,TRUE,4555.4,2025-09-23
2025-09-22T23:24:22Z,28.77773073501885,83.97249883040786,123403.57,1.418,4556.2,86,45,0.5,28.77773073501885,83.97249883040786,123403.57,1.418,4556.2,7,7.370000000009895,TRUE,4556.2,2025-09-23
2025-09-22T23:24:26Z,28.777735009789467,83.9724756963551,123406.52,0.942,4557,88,0,0,28.777735009789467,83.9724756963551,123406.52,0.942,4557,4,2.9499999999970896,TRUE,4557,2025-09-23
2025-09-22T23:24:29Z,28.77774498425424,83.97246630862355,123407.77,0,4557.4,89,0,0,28.77774498425424,83.97246630862355,123407.77,0,4557.4,3,1.25,FALSE,4557.4,2025-09-23
2025-09-22T23:24:34Z,28.777740290388465,83.97244543768466,123410.82,0,4558,90,0,0,28.777740290388465,83.97244543768466,123410.82,0,4558,5,3.0500000000029104,FALSE,4558,2025-09-23
2025-09-22T23:24:36Z,28.777736015617847,83.97244049236178,123411.69,0,4558.4,92,0,0,28.777736015617847,83.97244049236178,123411.69,0,4558.4,2,0.8699999999953434,FALSE,4558.4,2025-09-23
2025-09-22T23:24:41Z,28.777710869908333,83.97243169136345,123415.3,1.222,4558.8,95,0,0,28.777710869908333,83.97243169136345,123415.3,1.222,4558.8,5,3.610000000000582,TRUE,4558.8,2025-09-23
2025-09-22T23:24:43Z,28.77770248800516,83.9724204596132,123417.12,0,4559.2,95,0,0,28.77770248800516,83.9724204596132,123417.12,0,4559.2,2,1.819999999992433,FALSE,4559.2,2025-09-23
2025-09-22T23:24:51Z,28.777687903493643,83.97240956313908,123418.6,0.886,4559.8,97,0,0,28.777687903493643,83.97240956313908,123418.6,0.886,4559.8,8,1.4800000000104774,TRUE,4559.8,2025-09-23
2025-09-22T23:24:55Z,28.77767415717244,83.97236279211938,123423.32,0.756,4560,98,69,0.5,28.77767415717244,83.97236279211938,123423.32,0.756,4560,4,4.720000000001164,TRUE,4560,2025-09-23
2025-09-22T23:24:56Z,28.77766963094473,83.97235156036913,123425.08,1.026,4560.2,98,69,0.5,28.77766963094473,83.97235156036913,123425.08,1.026,4560.2,1,1.7599999999947613,TRUE,4560.2,2025-09-23
